Year,State abbreviation,State annual NOx coal output emission rate (lb/MWh),State annual NOx oil output emission rate (lb/MWh),State annual NOx gas output emission rate (lb/MWh),State annual NOx fossil fuel output emission rate (lb/MWh),State ozone season NOx coal output emission rate (lb/MWh),State ozone season NOx oil output emission rate (lb/MWh),State ozone season NOx gas output emission rate (lb/MWh),State ozone season Nox fossil fuel output emission rate (lb/MWh),State annual SO2 coal output emission rate (lb/MWh),State annual SO2 oil output emission rate (lb/MWh),State annual SO2 gas output emission rate (lb/MWh),State annual SO2 fossil fuel output emission rate (lb/MWh),State annual CO2 coal output emission rate (lb/MWh),State annual CO2 oil output emission rate (lb/MWh),State annual CO2 gas output emission rate (lb/MWh),State annual CO2 fossil fuel output emission rate (lb/MWh)
1999,MS,4.877,8.130,4.764,5.164,4.875,7.378,5.186,5.208,11.393,21.378,4.377,9.971,2179.816,2552.084,1724.866,2060.079
1999,MT,5.006,8.050,4.930,5.091,4.675,8.040,2.722,4.770,2.580,12.716,0.056,2.861,2429.603,3479.869,1914.926,2458.526
1999,NC,5.884,6.408,2.466,5.834,5.705,4.893,2.057,5.623,12.759,2.273,0.045,12.570,2104.070,1810.446,1395.330,2093.554
1999,ND,5.589,15.061,N/A,5.591,5.687,6.533,N/A,5.687,13.252,6.437,N/A,13.251,2630.204,2730.057,N/A,2630.225
1999,NE,4.975,27.037,5.871,5.010,4.879,14.716,4.155,4.875,6.837,2.277,0.154,6.726,2456.043,2249.965,1433.089,2439.569
1999,NH,5.684,3.433,N/A,4.979,3.973,3.146,N/A,3.648,23.514,20.160,N/A,22.463,2360.375,2107.121,N/A,2281.065
1999,NJ,6.072,6.058,1.006,2.780,4.959,3.974,0.951,2.335,11.484,1.816,0.034,3.911,2503.883,2172.478,1038.477,1547.238
1999,NM,5.690,14.406,2.288,5.260,5.682,14.805,2.339,5.238,5.223,6.211,0.011,4.562,2368.967,2589.991,1329.743,2237.240
1999,NV,4.257,-28.419,2.690,3.703,4.264,-24.569,2.886,3.752,5.730,-2.235,0.030,3.713,2180.930,-1408.880,1198.449,1833.303
1999,NY,3.983,3.405,1.289,2.223,4.284,2.884,1.522,2.268,17.286,11.047,1.249,6.595,2072.011,1989.372,1392.288,1632.888
1999,OH,6.970,18.423,3.147,6.945,6.904,8.395,2.922,6.865,21.313,3.298,0.179,21.154,2171.282,2217.937,1762.363,2168.300
1999,OK,4.524,N/A,3.822,4.314,4.474,N/A,3.836,4.248,5.868,N/A,0.686,4.321,2227.037,N/A,1249.468,1935.154
1999,OR,4.856,N/A,0.768,2.196,4.922,N/A,0.774,2.120,9.035,N/A,0.022,3.170,2335.570,N/A,919.198,1413.867
1999,PA,4.196,7.133,0.932,4.131,3.643,5.187,0.924,3.589,16.768,3.921,0.049,16.292,2001.798,1677.686,853.616,1971.965
1999,RI,N/A,0.481,0.496,0.489,N/A,0.488,0.496,0.492,N/A,0.074,0.008,0.036,N/A,1042.148,1011.805,1024.795
1999,SC,4.271,11.591,0.721,4.204,4.227,5.678,0.834,4.141,10.383,2.726,0.036,10.146,1845.080,2210.257,984.696,1826.778
